part_edad;part_sex;estrato;Meta_rec;prevalencia_vida;prevalencia_12mes;prevalencia_1mes;Total_conocimiento;Total_normas;Total_mod;Total_presion;Total_autoef;Total_intencion;Total_plan;Total_actitud
25;Mujer;6;1;1;1;0;4;12;14;12;25;15;34;40
21;Mujer;4;1;1;1;1;4;10;12;4;21;3;12;18
19;Mujer;3;1;1;1;1;3;18;8;6;17;15;33;21
22;Hombre;3;1;1;1;1;2;14;12;6;19;15;32;27
27;Mujer;4;1;1;1;1;5;18;11;6;15;15;31;24
22;Mujer;6;1;0;0;0;5;20;8;5;25;15;33;40
25;Mujer;5;1;1;1;0;5;4;6;4;24;3;19;35
21;Hombre;4;1;1;1;1;3;18;17;12;25;15;29;25
20;Mujer;4;1;1;1;1;5;12;13;8;20;13;27;20
21;Hombre;5;1;1;1;1;3;21;15;13;12;12;32;25
24;Hombre;6;1;1;1;1;3;12;15;12;14;8;23;29
23;Hombre;5;1;1;1;1;4;19;14;12;22;14;25;9
21;Hombre;6;1;1;1;1;4;16;6;4;22;15;35;27
23;Hombre;4;1;1;1;1;5;15;8;5;21;5;13;25
20;Mujer;4;1;0;0;0;4;15;20;14;23;15;30;24
20;Mujer;6;1;1;0;0;3;14;10;6;25;7;34;23
21;Mujer;1;1;1;1;1;4;15;18;12;22;14;31;32
22;Hombre;2;1;1;1;1;4;17;17;14;16;12;25;16
20;Mujer;4;1;1;1;1;4;12;10;4;23;14;30;23
23;Mujer;4;1;1;1;1;5;16;6;4;25;15;35;24
22;Hombre;3;1;1;1;1;3;13;7;5;21;12;28;34
24;Hombre;3;1;1;1;1;5;4;10;4;22;9;22;21
19;Mujer;2;1;1;1;1;3;15;18;14;19;8;24;15
22;Hombre;3;1;1;1;1;3;8;12;4;19;14;24;31
19;Mujer;1;1;0;0;0;3;7;8;4;25;3;7;40
22;Mujer;1;1;0;0;0;3;12;12;5;18;3;14;25
19;Mujer;3;1;1;1;1;4;13;12;12;22;5;14;28
18;Hombre;3;1;1;1;1;3;14;11;5;18;11;23;19
24;Hombre;3;1;1;0;0;5;11;5;12;25;3;19;30
19;Mujer;3;2;1;1;1;2;20;17;12;25;15;35;36
25;Hombre;5;2;1;1;1;5;18;15;15;25;5;21;24
32;Hombre;5;2;1;1;1;4;12;8;8;17;9;23;21
30;Hombre;2;2;1;1;1;4;7;11;5;16;6;18;20
27;Hombre;5;2;3;1;1;5;16;10;8;15;6;25;21
19;Hombre;4;2;1;1;1;3;23;14;12;22;10;26;20
20;Mujer;5;2;1;1;1;4;12;16;12;21;11;28;21
24;Mujer;2;2;1;1;1;0;8;5;4;21;4;16;40
20;Mujer;4;2;1;1;1;3;22;17;17;18;12;28;22
21;Mujer;1;2;1;1;1;4;12;13;7;25;10;30;30
23;Mujer;5;2;1;1;1;4;20;8;13;25;15;35;19
21;Hombre;3;2;1;1;1;5;19;16;12;19;10;21;20
19;Hombre;3;2;1;1;1;2;15;15;14;23;15;30;18
19;Mujer;4;2;1;1;1;5;22;15;12;23;12;31;32
21;Hombre;2;2;1;1;1;5;16;15;13;22;14;31;30
24;Hombre;1;2;1;1;1;4;20;12;12;25;11;25;29
20;Hombre;4;2;1;1;1;3;13;10;7;12;5;22;19
18;Mujer;1;2;1;1;1;4;16;5;4;25;11;35;22
19;Mujer;2;2;1;1;1;4;16;12;12;25;15;35;24
20;Mujer;4;2;1;1;1;3;21;12;13;25;4;30;25
21;Hombre;4;2;1;1;0;3;19;15;14;23;7;13;17
20;Mujer;4;2;1;1;1;5;22;16;14;20;15;32;25
19;Hombre;1;2;1;1;1;3;19;14;12;21;15;35;23
18;Mujer;3;2;1;1;1;3;13;12;6;13;14;27;13
20;Mujer;4;2;1;1;1;4;20;17;15;14;10;20;17
21;Hombre;4;2;1;1;1;5;9;15;4;16;7;15;20
19;Mujer;1;2;1;1;1;2;20;22;18;13;14;29;11
21;Hombre;4;2;1;1;1;5;17;15;15;18;12;32;16
20;Mujer;3;2;1;1;0;3;22;16;13;17;6;17;22
21;Hombre;2;2;1;1;1;3;8;9;7;21;8;21;21
20;Mujer;3;2;1;1;1;4;12;17;5;20;3;15;17
25;Mujer;6;2;1;1;1;5;4;12;6;20;12;26;21
22;Hombre;2;2;1;1;1;4;19;15;13;14;12;20;23
25;Hombre;4;2;1;1;1;4;10;7;6;19;5;20;17
22;Mujer;5;2;1;1;1;5;15;10;6;13;11;26;16
19;Mujer;3;2;1;1;0;3;18;16;13;24;11;31;28
19;Hombre;4;2;1;1;1;5;15;11;7;23;9;18;20
21;Mujer;2;2;1;1;1;3;17;11;7;15;9;25;23
27;Hombre;2;2;1;1;1;3;17;19;13;18;8;23;17
19;Hombre;6;3;1;1;1;4;20;17;13;11;13;25;11
22;Hombre;3;3;1;1;1;4;18;16;6;20;9;23;23
20;Mujer;4;3;1;1;1;5;16;11;4;21;13;29;18
18;Mujer;2;3;1;1;1;3;11;9;5;20;13;24;22
19;Otro;4;3;1;1;1;4;19;18;13;21;12;29;18
20;Mujer;3;3;1;1;1;4;15;16;12;21;3;12;16
20;Mujer;4;3;1;1;1;3;22;19;14;17;15;33;26
22;Hombre;5;3;1;1;1;2;13;9;6;8;8;24;10
23;Mujer;5;3;1;1;1;4;17;10;9;16;15;31;27
22;Hombre;4;3;1;1;1;3;20;15;12;22;9;31;25
19;Hombre;1;3;1;1;1;5;13;11;5;20;13;26;21
